,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category,Type
150,A37 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-10-19 12:47:14.898901,A37,P6,2020,Professional,Analyze Cycle Time
151,A37 P6 BPI 2020,Compare cycle time, ,2021-10-19 12:47:14.914522,A37,P6,2020,Professional,Analyze Cycle Time
152,A2 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-10-19 12:47:14.914522,A2,P5,2015,Student,Analyze Cycle Time
153,A2 P5 BPI 2015,Filter events,Filter events by cycle time,2021-10-19 12:47:14.930106,A2,P5,2015,Student,Manipulation
154,A2 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:14.938114,A2,P5,2015,Student,Representation
155,A2 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.938114,A2,P5,2015,Student,Analyze Cycle Time
156,A3 P5 BPI 2015,Group activities,Group activities by sub-processes,2021-10-19 12:47:14.953773,A3,P5,2015,Professional,Manipulation
157,A3 P5 BPI 2015,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-10-19 12:47:14.953773,A3,P5,2015,Professional,Analyze Cycle Time
158,A3 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.969393,A3,P5,2015,Professional,Representation
159,A3 P5 BPI 2015,Filter activities,Filter activities by frequency,2021-10-19 12:47:14.969393,A3,P5,2015,Professional,Manipulation
160,A3 P5 BPI 2015,Represent bar charts,Represent bar charts of traces,2021-10-19 12:47:14.969393,A3,P5,2015,Professional,Representation
161,A3 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.989104,A3,P5,2015,Professional,Analyze Cycle Time
162,A3 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.997082,A3,P5,2015,Professional,Representation
163,A4 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-10-19 12:47:15.020020,A4,P5,2015,Academic,Analyze Cycle Time
164,A4 P5 BPI 2015,Identify bottlenecks,Identify organizational units as bottlenecks applying temporal performance criteria,2021-10-19 12:47:15.028026,A4,P5,2015,Academic,Analyze Cycle Time
165,A4 P5 BPI 2015,Identify impact of bottlenecks by organizational unit, ,2021-10-19 12:47:15.035014,A4,P5,2015,Academic,Identification
166,A4 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.039994,A4,P5,2015,Academic,Analyze Cycle Time
167,A7 P5 BPI 2015,Filter traces,Filter traces by attributes,2021-10-19 12:47:15.048166,A7,P5,2015,Academic,Manipulation
168,A7 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:15.048166,A7,P5,2015,Academic,Analyze Cycle Time
169,A7 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:15.063789,A7,P5,2015,Academic,Representation
170,A7 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.063789,A7,P5,2015,Academic,Analyze Cycle Time
171,A7 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:15.063789,A7,P5,2015,Academic,Analyze Cycle Time
172,A7 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-10-19 12:47:15.079429,A7,P5,2015,Academic,Representation
